pixel_id,x,y,t,R,G,B,A,Gx,Gy
0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,11.0
2,2.0,0.0,15.0,0.0,0.0,0.0,1.0,5.0,0.0
3,3.0,0.0,15.0,0.0392156862745098,0.0392156862745098,0.0392156862745098,1.0,0.0,-10.0
4,4.0,0.0,15.0,0.0,0.0,0.0,1.0,-2.5,0.0
5,5.0,0.0,15.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,1.0,0.0,1.0
6,6.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,11.0
7,7.0,0.0,15.0,0.0274509803921568,0.0274509803921568,0.0274509803921568,1.0,0.0,-3.0
8,8.0,0.0,15.0,0.0,0.0,0.0,1.0,-3.5,3.0
9,9.0,0.0,15.0,0.0,0.0,0.0,1.0,2.5,15.0
10,10.0,0.0,15.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,1.0,3.5,-5.0
11,11.0,0.0,15.0,0.0274509803921568,0.0274509803921568,0.0274509803921568,1.0,-2.5,-6.0
12,12.0,0.0,15.0,0.0,0.0,0.0,1.0,8.0,0.0
13,13.0,0.0,15.0,0.0901960784313725,0.0901960784313725,0.0901960784313725,1.0,2.5,-20.0
14,14.0,0.0,15.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,1.0,-11.5,-5.0
15,15.0,0.0,15.0,0.0,0.0,0.0,1.0,-2.5,0.0
16,16.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,2.0
17,17.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,2.0
18,18.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0
19,19.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,5.0
20,20.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,4.0
21,21.0,0.0,15.0,0.0,0.0,0.0,1.0,1.5,0.0
22,22.0,0.0,15.0,0.0117647058823529,0.0117647058823529,0.0117647058823529,1.0,0.5,3.0
23,23.0,0.0,15.0,0.0039215686274509,0.0039215686274509,0.0039215686274509,1.0,-1.5,2.0
24,24.0,0.0,15.0,0.0,0.0,0.0,1.0,-0.5,4.0
25,25.0,0.0,15.0,0.0,0.0,0.0,1.0,3.5,3.0
26,26.0,0.0,15.0,0.0274509803921568,0.0274509803921568,0.0274509803921568,1.0,1.5,-7.0
27,27.0,0.0,15.0,0.0117647058823529,0.0117647058823529,0.0117647058823529,1.0,-4.0,-1.0
